timestamp,event,event type,data,event group,front gear num,front gear,rear gear num,rear gear
2025-02-26T12:05:40.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:06:40.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T12:06:53.000Z,rearGearChange,marker,805442821,,2,48,5,21
2025-02-26T12:06:55.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T12:07:00.000Z,rearGearChange,marker,805442310,,2,48,6,19
2025-02-26T12:07:23.000Z,rearGearChange,marker,805441799,,2,48,7,17
2025-02-26T12:07:48.000Z,rearGearChange,marker,805442310,,2,48,6,19
2025-02-26T12:08:09.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T12:10:51.000Z,distanceDurationAlert,marker,1000.00,1,,,,
2025-02-26T12:10:56.000Z,offCourse,start,0,0,,,,
2025-02-26T12:11:02.000Z,rearGearChange,marker,4294909442,,255,255,2,30
2025-02-26T12:11:03.000Z,rearGearChange,marker,805445122,,2,48,2,30
2025-02-26T12:11:07.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T12:11:13.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:11:17.000Z,riderPositionChange,marker,transitionToSeated,,,,,
2025-02-26T12:11:20.000Z,offCourse,stop,0,0,,,,
2025-02-26T12:11:22.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T12:11:25.000Z,rearGearChange,marker,805445122,,2,48,2,30
2025-02-26T12:12:02.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:12:10.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:12:16.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T12:12:27.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:15:46.000Z,distanceDurationAlert,marker,1000.00,1,,,,
2025-02-26T12:16:10.000Z,rearGearChange,marker,805445122,,2,48,2,30
2025-02-26T12:18:33.000Z,riderPositionChange,marker,transitionToSeated,,,,,
2025-02-26T12:18:38.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T12:21:08.000Z,distanceDurationAlert,marker,1000.00,1,,,,
2025-02-26T12:21:21.000Z,riderPositionChange,marker,transitionToSeated,,,,,
2025-02-26T12:21:24.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:21:24.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T12:21:37.000Z,rearGearChange,marker,805445122,,2,48,2,30
2025-02-26T12:23:28.000Z,riderPositionChange,marker,transitionToSeated,,,,,
2025-02-26T12:23:29.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T12:23:31.000Z,riderPositionChange,marker,transitionToSeated,,,,,
2025-02-26T12:23:32.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T12:24:02.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:24:02.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T12:24:13.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:26:02.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T12:26:02.000Z,rearGearChange,marker,805442821,,2,48,5,21
2025-02-26T12:26:02.000Z,rearGearChange,marker,805442310,,2,48,6,19
2025-02-26T12:26:05.000Z,rearGearChange,marker,805440778,,2,48,10,13
2025-02-26T12:26:05.000Z,rearGearChange,marker,805440523,,2,48,11,12
2025-02-26T12:26:06.000Z,rearGearChange,marker,805440268,,2,48,12,11
2025-02-26T12:26:08.000Z,rearGearChange,marker,805440523,,2,48,11,12
2025-02-26T12:26:24.000Z,rearGearChange,marker,805440268,,2,48,12,11
2025-02-26T12:26:40.000Z,distanceDurationAlert,marker,1000.00,1,,,,
2025-02-26T12:27:33.000Z,rearGearChange,marker,805440778,,2,48,10,13
2025-02-26T12:27:33.000Z,rearGearChange,marker,805441033,,2,48,9,14
2025-02-26T12:27:33.000Z,rearGearChange,marker,805441288,,2,48,8,15
2025-02-26T12:27:40.000Z,rearGearChange,marker,805441799,,2,48,7,17
2025-02-26T12:27:40.000Z,rearGearChange,marker,805442310,,2,48,6,19
2025-02-26T12:27:41.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:27:45.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T12:27:50.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:27:57.000Z,rearGearChange,marker,805445122,,2,48,2,30
2025-02-26T12:32:29.000Z,rearGearChange,marker,805445122,,2,48,2,30
